apogee_id,ra,dec,glon,glat,nvisits,snr,snrev,starflag,vhelio_avg,vscatter,aspcapflag,teff,teff_err,logg,logg_err,m_h,m_h_err,alpha_m,alpha_m_err,vmicro,vmacro,vsini,c_fe,c_fe_err,c_fe_flag,ci_fe,ci_fe_err,ci_fe_flag,n_fe,n_fe_err,n_fe_flag,o_fe,o_fe_err,o_fe_flag,na_fe,na_fe_err,na_fe_flag,mg_fe,mg_fe_err,mg_fe_flag,al_fe,al_fe_err,al_fe_flag,si_fe,si_fe_err,si_fe_flag,p_fe,p_fe_err,p_fe_flag,s_fe,s_fe_err,s_fe_flag,k_fe,k_fe_err,k_fe_flag,ca_fe,ca_fe_err,ca_fe_flag,ti_fe,ti_fe_err,ti_fe_flag,tiii_fe,tiii_fe_err,tiii_fe_flag,v_fe,v_fe_err,v_fe_flag,cr_fe,cr_fe_err,cr_fe_flag,mn_fe,mn_fe_err,mn_fe_flag,fe_h,fe_h_err,fe_h_flag,co_fe,co_fe_err,co_fe_flag,ni_fe,ni_fe_err,ni_fe_flag,cu_fe,cu_fe_err,cu_fe_flag,ce_fe,ce_fe_err,ce_fe_flag,source_id,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,astrometric_excess_noise,phot_g_mean_mag,l,b,rgeo,b_rgeo_x,B_rgeo_xa,pmra_mardini,pmdec_mardini,phi_mcm17mean,phi_mcm17std,phi_mwp14mean,phi_mwp14std,phi_astrmean,phi_astrstd,ll_mean,ll_std,bb_mean,bb_std,x_mean,x_std,y_mean,y_std,z_mean,z_std,G_x_mean,G_x_std,G_y_mean,G_y_std,G_z_mean,G_z_std,vx_mean,vx_std,vy_mean,vy_std,vz_mean,vz_std,G_vx_mean,G_vx_std,G_vy_mean,G_vy_std,G_vz_mean,G_vz_std,Cyl_vr_mean,Cyl_vr_std,Cyl_vphi_mean,Cyl_vphi_std,Cyl_vz_mean,Cyl_vz_std,Vr_astropy_mean,Vr_astropy_std,Vtheta_astropy_mean,Vtheta_astropy_std,Vphi_astropy_mean,Vphi_astropy_std,Lx_mean,Lx_std,Ly_mean,Ly_std,Jphi_mean,Jphi_std,Jr_mean,Jr_std,Jz_mean,Jz_std,Jx_mean,Jx_std,Jy_mean,Jy_std,R_mean,R_std,rperi_mean,rperi_std,rapo_mean,rapo_std,zmax_mean,zmax_std,ecc_mean,ecc_std,energy_mean,energy_std,TDtoD_new,TDtoH_new,prob_thin,prob_thick,prob_halo,classification_action,age_lowess_correct
2M00024677+0127542,0.694903,1.465073,98.71509414628686,-59.09958403326743,6,348.35193,334.5628,0,-110.86685,0.08808271,0,4789.885,9.079474,2.2533064,0.026565399,-0.46247,0.007061318,0.293885,0.0071526193,1.6190491,3.875374,1.0E20,0.117900014,0.016524345,0,0.10506001,0.027975742,0,0.15537003,0.019535145,0,0.43630302,0.020347912,0,-0.36210796,0.08056484,0,0.356063,0.013209911,0,0.263834,0.019869743,0,0.24922061,0.015151107,0,1.0000000200408772E20,0.15263171,2,0.31432202,0.04433099,0,0.235159,0.0416894,0,0.15700501,0.01647847,0,0.12914318,0.02301564,0,0.43550903,0.08604652,0,0.036282003,0.09164215,0,-0.12146601,0.048813496,0,-0.11610797,0.01745729,0,-0.46742,0.007990777,0,0.13499,0.06334575,0,0.09472251,0.01382065,0,1.0000000200408772E20,0.008756,2,-0.27014998,0.06877315,0,2738443526996430848,0.3774026614185114,0.017609254,21.432064,12.340654,7.625655658641465,0.018350413,-9.702635112034482,0.010196242,0.11759287,0.053106166,12.639854,98.71515691879767,-59.09972089589287,2521.93555,2422.85645,2652.12329,7.617161432117719,-9.691067866555157,0.1708158166253922,0.1041489870369041,0.1714316478035572,0.1714316478035572,2.970161005786236,0.1044953019694318,98.71516232446274,2.8421709430404014E-14,-59.09965356108626,7.105427357601002E-15,-0.2286325328356876,0.1470714596772095,1.4914804511257704,0.959418173374015,-2.5211577748149177,1.6217742480465498,8.41303910751588,0.1511925892385215,1.4914843668890314,0.9594206922500972,-2.499766265332984,1.621393750302672,-18.88669282425045,17.69753239250931,-203.2004771421641,94.5068857246528,10.70615141902068,54.2976210020186,29.986897170951966,17.69754258528342,29.039524701843835,94.50678951120804,17.955825923535127,54.29778514232094,24.32567880596444,12.846676483144226,23.494883501735195,98.37915926318092,17.955825923535127,54.29778514232094,3.8180797306903504,13.52567557062728,-19.5701541467268,53.387545895868655,15.255121395928766,95.89628648553932,-105.9537761190572,467.82497864303735,-246.5049226117693,349.36457087197687,168.31975417358314,866.543831880622,368.54481977127074,288.40658693589444,157.47968050807657,175.97230805480987,363.1811722103435,24.550304209583423,62.64758839859068,61.92088080022654,8.623590925104967,0.3461373579136764,2.5556466546326773,2.2219807704128662,9.588707841921954,4.643274148410625,3.9104734096467335,3.939301103041754,0.6168757509051391,0.212053460033595,-170131.62916175695,10809.120627988725,8.148203168404367E13,0.0674490528135125,1.243780414041332E-7,0.152931881450072,0.8470679941718865,2,8.092583833174764
2M00063221+1602066,1.634229,16.035191,107.4551121415156,-45.48285429698033,2,141.85262,144.12712,0,-84.96913,0.100740634,0,4716.145,11.150784,2.6177495,0.03176975,-0.47535,0.009104725,0.190625,0.008938115,1.1751113,3.9046893,1.0E20,0.11012,0.02075493,0,0.13295001,0.036409516,0,0.31748998,0.02367153,0,0.247073,0.024488926,0,0.06923199,0.10249124,0,0.24059299,0.016606286,0,0.323824,0.027675524,0,0.14790058,0.019667482,0,1.0000000200408772E20,0.17677125,2,0.06896001,0.06203714,0,0.21068901,0.05185561,0,0.114674985,0.021945389,0,0.07474017,0.029503955,0,0.109708995,0.10416433,0,0.16745198,0.114173226,0,0.082533985,0.06292925,0,-0.12081802,0.022787802,0,-0.46997,0.0104569625,0,-0.036710024,0.088072136,0,0.032842487,0.019003168,0,1.0000000200408772E20,0.013830981,2,-0.14200002,0.087179236,0,2772541031840732672,0.4549838775527116,0.020156674,22.572369,15.47492,12.652804161324571,0.0193082,-8.90952819398243,0.021668106,0.45274153,0.092559144,12.928095,107.45518390279788,-45.482999864319325,2086.31445,2003.39026,2182.44507,12.647158604875225,-8.912370964049959,0.1723606219136896,0.107550833400371,0.1729554246605394,0.1729554246605394,2.968637228929253,0.1078831711274492,107.45516247211776,2.8421709430404014E-14,-45.48294142348746,1.4210854715202004E-14,-0.4950848821977398,0.3352264374403307,1.5745039481788063,1.0661108190997113,-1.6785676626203407,1.1365732983905057,8.677348680060252,0.3381134934156022,1.5745068742041834,1.0661128003378757,-1.656501439876556,1.1357159275543762,-61.07482593862055,53.453751710067934,-179.75996045187406,83.22627126131194,-31.435949862278047,62.30170590902372,72.17494815974182,53.45373995395667,52.48014253514686,83.22613002910127,-24.186301314504448,62.30190466134604,69.79321825755626,38.210992202769866,35.21272427274277,100.87700603448546,-24.186301314504448,62.30190466134604,55.01781051858261,50.37170626907936,10.39040345886516,47.91676995656659,26.991325055499846,98.3405617384956,-112.08937979426808,373.66351002043456,50.672530938322986,354.7434428390868,256.6217616671988,930.2025457224164,454.1696499876634,288.4591815431152,102.69102688946478,138.3521305076534,447.4400573342168,25.10242424438482,77.8939411165557,69.01722026153637,8.903669267916483,0.5541839846548784,2.41134912635531,1.8136051916446287,10.533633109079023,5.405876187532254,3.5508132408172086,3.994995431305104,0.6452626869662377,0.1835076644614181,-167889.92515530842,13802.304561536086,2.925383024307664E11,0.4211510472452615,4.958997670347974E-6,0.2181344834375588,0.7818605575647708,2,4.361216077190297
2M00113608-5101446,2.900335,-51.029068,317.8080796499356,-64.93306636930684,1,149.11923,154.78284,0,56.86812,0.0,0,4690.1274,11.503774,1.6616375,0.036978878,-0.88839,0.010345297,0.146235,0.011395276,2.040845,4.9721003,1.0E20,-0.28461003,0.027129954,0,-0.058137,0.044096485,0,0.20716,0.029324766,0,0.36595297,0.028496189,0,-0.007838011,0.14169371,0,0.17157298,0.019975314,0,-0.07105899,0.028340006,0,0.1456306,0.022320252,0,1.0000000200408772E20,0.20995119,2,0.22387195,0.0824216,0,0.122329,0.06078538,0,-0.030106008,0.027534908,0,-0.15776682,0.03362727,0,0.042771995,0.114744894,0,0.025761962,0.1364523,0,0.053333998,0.08572026,0,-0.17901802,0.028632581,0,-0.88798,0.011322615,0,0.053990006,0.10409395,0,0.0023924708,0.023204453,0,1.0000000200408772E20,0.044186376,2,-0.17908001,0.08323187,0,4973349924341046016,0.2842833414813045,0.011899363,23.890635,12.974944,0.9394514582144328,0.008582517,-12.940888994719144,0.010472315,-0.38155776,0.08158176,12.132516,317.8079918325841,-64.93304347941051,3374.99414,3232.29443,3485.97119,0.9475617872302728,-12.960648409651348,6.112617648391218,0.1353513680699818,6.111800706572201,6.111800706572201,-2.9702080529824086,0.1360613284837427,317.8080128820601,1.1368683772161605E-13,-64.9330987965653,1.4210854715202004E-14,1.229353649952276,0.840813085776608,-1.1143965776625049,0.7621885087986492,-3.5475040349315603,2.426305737597612,6.957669009941712,0.8346420620783659,-1.114392510654145,0.7621857271793416,-3.5298191873691405,2.4284363376359392,94.28918045787604,52.28675742972435,-225.59276342800416,143.231441547656,40.76043280702073,63.11345908307241,-83.1889122626104,52.2865338550708,6.647088992829435,143.2315828869531,48.0102364169002,63.113323544918,-62.08086375224883,31.25797647896488,-9.782965036577954,159.0186961703018,48.0102364169002,63.113323544918,-105.38983698423506,43.69919542701655,3.0692427693361606,29.85584847032029,-25.51276542528204,161.5736078704888,-425.97164861728754,1004.9462408160414,139.25324410257235,254.6756549023665,33.23829882830692,1073.773715577081,230209.80515739947,2083729.3045726963,332.4710236382958,585.4232406213655,226869.13174710263,5658.721081590963,-39076.22616020652,355026.4122847022,7.137733437189459,0.653611129031619,3.318146377235506,2.520562773566056,38.53820138568364,258.3203919986635,13.231875462886828,63.16249591723989,0.6076370595623262,0.207712612869432,-159694.74672827675,30584.87014525076,5.787390519398123E19,0.0013032095271158,2.6801233799520632E-18,2.778408403616E-4,0.9997221591596384,2,6.285244074064452
2M00123297-1955354,3.137377,-19.926506,69.8334218751132,-78.54883794199162,6,419.294,436.45566,0,-168.20135,0.055661328,0,4792.868,8.263978,2.4727552,0.022189576,-0.065881,0.0060005058,0.028339501,0.005408903,1.444375,3.0728428,1.0E20,-0.107898,0.012090584,0,-0.183138,0.021989116,0,0.282372,0.015061348,0,0.047073998,0.016287545,0,-0.032105,0.055390246,0,0.048022002,0.010620323,0,0.100513995,0.0183454,0,0.038154602,0.012756881,0,1.0000000200408772E20,0.12423556,2,0.011955999,0.031911694,0,0.033911996,0.03432776,0,0.010659002,0.012617498,0,0.012427472,0.019102272,0,0.102511,0.074067704,0,-0.08453502,0.07193809,0,-0.062653005,0.034029882,0,0.013664991,0.013332843,0,-0.076353,0.0071151024,0,0.062634,0.049121242,0,0.0197355,0.010752514,0,1.0000000200408772E20,1.0E20,259,-0.014036998,0.066270605,0,2364878983965371648,0.4888044761902897,0.017063716,28.64584,1.6243834,1.590117481106745,0.01809625,-0.3318857154547411,0.013920841,-0.00317165,0.055546485,12.237469,69.83369650333609,-78.5488718131353,1982.63232,1922.81091,2049.73486,1.6049108022246024,-0.3258898082465639,0.0514996917130404,0.0360515500201299,0.0517056656536496,0.0517056656536496,3.0898869879361435,0.0361975037929412,69.8335199144709,0.0,-78.54888846789626,0.0,0.1515527755266824,0.1044057806226544,0.4126531939224915,0.284279708426218,-2.170195107991108,1.495062783019673,8.031963898623086,0.1006053047221267,0.4126562405331684,0.2842818072578947,-2.149772733915285,1.495322932193847,-24.474502969085894,8.930643662161707,-42.2347311275075,7.508284581562605,161.87583063459795,2.054239666300256,35.57477395957114,8.93064770436718,190.00505387565647,7.508273262417067,169.12573356788036,2.0542634646498965,45.02407631502815,15.067089390612946,187.48540433154585,9.932482483192638,169.12573356788036,2.0542634646498965,-21.4223612245119,13.868235473761866,-169.31071979655349,1.766958263566318,176.4372956993962,9.088092014398542,466.4511495271347,306.61608771070456,-1448.446018778829,51.846511277105485,1509.650686954174,94.58403874332774,12.170312023355612,9.501442731559504,597.6640473041853,152.40547585789872,12.154176428281357,4.353508967472879,0.6264903000398548,0.6566755639997687,8.079705712058862,0.0821465819025485,8.22410274570524,0.1242856180269144,10.12211203494852,0.6489022067835506,6.852857957680462,1.1245777291063002,0.1024951858701952,0.0236118411144507,-149779.52980267062,2081.5359846416736,2.1672768016610832E16,0.2803453202439417,2.130306323000614E-18,0.0029352989001686,0.9970647010998313,2,2.3378773707702556
2M00174390-1457480,4.432944,-14.963361,88.4294079976064,-75.5264178305698,5,218.36954,219.24394,0,-49.647945,0.05643172,0,5180.7446,13.124492,2.3007123,0.031115124,-0.7495,0.007480035,0.105544,0.009470658,2.0226,4.5840354,1.0E20,-0.15024996,0.0279341,0,-0.1897,0.037678134,0,0.08140004,0.030642902,0,0.176023,0.040648535,0,-0.88429797,0.1345424,0,0.08171201,0.01587024,0,-0.17467904,0.020326609,0,0.08117062,0.017950503,0,1.0000000200408772E20,0.20921533,2,0.15848202,0.05520923,0,0.11181903,0.049567174,0,0.043725014,0.021103708,0,-0.053661823,0.031795803,0,0.19214904,0.123747095,0,0.03603196,0.15583383,0,-0.12622601,0.078772835,0,-0.264598,0.021960696,0,-0.7399,0.007878427,0,-0.75263,0.11220919,0,-0.06141752,0.017024772,0,1.0000000200408772E20,0.032078225,2,-0.31826007,0.10803211,0,2416811293262606720,0.4125466019002611,0.017498935,23.575527,17.643682,2.3371957680939066,0.018252205,-17.48819679870868,0.012627822,0.25650984,0.06978532,12.706697,88.42948590839838,-75.52656100175713,2278.72192,2182.30542,2383.53247,2.3821038243839974,-17.479501919799837,0.0778068642240368,0.0539484948122358,0.0781085211010095,0.0781085211010095,3.063484132488783,0.0541548262255376,88.42952611089679,0.0,-75.52646606334672,2.8421709430404014E-14,0.0175742013033522,0.0122547058802562,0.6410010300106465,0.4469778714907165,-2.484231766524779,1.732285246518911,8.166740098347589,0.0078516673736175,0.6410046625097242,0.4469804044768272,-2.4634674735407533,1.7323101454586165,80.63087182871907,56.46759403211923,-204.93233644974487,134.2554083369861,-1.0317972153815314,34.24203170369967,-69.53068267208849,56.46751815781067,27.30759006096939,134.25541056907568,6.21801719077338,34.24214807412823,-74.01190823779721,70.67323065637929,36.35884558389713,122.46992462296528,6.21801719077338,34.24214807412823,-83.5115069882108,44.71834658686279,30.297953999541285,76.19411597998511,25.89838914085513,121.22152819830912,-176.62014221190557,598.2154996096841,218.05501097396225,630.6627805519597,293.8772181994673,1008.8819627424406,77037.07717490284,1207907.4937450597,245.60823266695112,423.1197326081887,76804.00709903202,1582.900937004276,5987.9673666255885,93980.0795026864,8.235781441023954,0.0397468109405578,3.0857266555040925,2.333634975283782,19.16877215595329,149.0094791904257,9.119743115611517,55.26619690629497,0.5995715418070369,0.2285711880754699,-162883.09525151635,22518.353814472383,7.94377025935468E14,0.0328953661713591,3.673770324377591E-6,0.2378282974749103,0.7621680287547654,2,3.809535827566469
2M00281887-1409480,7.07865,-14.163338,99.1963405590932,-75.95819992916212,1,113.3585,117.443115,0,-16.039131,0.0,0,5136.677,19.02435,2.3647745,0.042111296,-0.84266,0.01111377,0.190985,0.01405209,1.8125918,4.8408313,1.0E20,-0.11734998,0.043620955,0,-0.09761995,0.059448384,0,0.14437002,0.044383835,0,0.449903,0.06045767,0,0.41472203,0.21439649,0,0.17488301,0.023223734,0,0.05219108,0.033468813,0,0.19223064,0.027495226,0,1.0000000200408772E20,0.27768677,2,0.339562,0.09628578,0,0.19447905,0.07134189,0,0.13744503,0.034383524,0,0.12811321,0.049063213,0,0.34783906,0.17605264,0,0.058881998,0.2393868,0,-0.5723559,0.12717006,0,-0.14456803,0.034435768,0,-0.84873,0.0117860595,0,-0.62350005,0.2042605,0,-0.06612748,0.028690953,0,1.0000000200408772E20,0.08490048,2,-0.075919986,0.16575427,0,2374959821964240128,0.443277480770805,0.016616678,26.676662,29.372038,22.525042191895707,0.020128462,-18.85043863322609,0.014701003,0.14153574,0.07503311,12.012148,99.19660371332388,-75.95838628178672,2131.82397,2064.86401,2209.66235,22.5578280375188,-18.855461244462315,0.0712430323650192,0.0464249216765481,0.0715145859742893,0.0715145859742893,3.0700780676155035,0.0465980334561345,99.19647896517374,1.4210854715202004E-14,-75.95824214588194,1.4210854715202004E-14,-0.0967966200098554,0.0641173433581912,0.5978731784467891,0.3960266367071795,-2.421642457086066,1.6040775070033677,8.280951490310377,0.0681942825358549,0.5978768254054933,0.3960290524248297,-2.400587702413465,1.6039087594498516,-115.41398426760148,76.85060324620453,-323.311536733091,211.6149075389881,-58.67514435012242,49.17325615079914,126.5142010349436,76.85072971043755,-91.07134318901969,211.6147638246507,-51.425784430378485,49.17367697175722,109.43727938187077,52.33283846793533,-102.50425727105058,223.07915339637944,-51.425784430378485,49.17367697175722,101.07681457533404,67.3365292557046,15.245564666715769,15.165226559593826,-113.13182505356032,222.02070513563152,-608.2558160177925,1008.4850736546018,2.238569764657203,149.89594670172784,-874.6631234023484,1881.603908798739,1302321.889308844,4817522.8098888025,199.1615970617661,314.6896698456049,1299018.2742393925,5301.723337671745,92702.89404903812,348187.080958945,8.343458716201651,0.1020002205949285,4.453274131472467,2.903369023025052,207.21594625944647,855.611728084453,78.16042562948903,304.8930576482426,0.613035754232511,0.2208518206427982,-139429.0747430496,61416.06287889348,2.195829821745047E42,1.7435732286876846E-10,1.1782053480012689E-8,0.0,0.9999999882179466,2,4.988772000780696
2M00354011+8456409,8.917135,84.944702,122.557330824679,22.084579652747674,6,267.57037,221.17146,0,-141.98433,0.05607252,0,4680.7793,8.846657,2.1118991,0.029347274,-0.69865,0.0079091415,0.137615,0.008268522,1.6389662,4.4496617,1.0E20,-0.12088001,0.018596945,0,-0.022309005,0.03125778,0,0.044170022,0.021360997,0,0.17579305,0.020338379,0,-0.18053794,0.094272405,0,0.15529001,0.014977308,0,0.03677106,0.021037389,0,0.06320262,0.016596816,0,1.0000000200408772E20,0.16487496,2,0.08795899,0.054243367,0,0.19100904,0.046390213,0,0.06898302,0.019116176,0,0.123683214,0.02447673,0,1.0E20,1.0E20,257,0.094392,0.09605545,0,-0.11936599,0.057023834,0,-0.16813797,0.020304978,0,-0.69559,0.008795297,0,-0.16340995,0.066299714,0,-0.023717523,0.015931997,0,1.0000000200408772E20,0.016275274,2,-0.50646996,0.06260742,0,573567975869037696,0.3119343168733863,0.013201271,23.629112,9.815321,7.635104907754234,0.015300707,6.168118998002443,0.016019339,-0.021319646,0.0965153,12.942967,122.55736130991684,22.084463731534363,3045.14795,2936.90039,3175.56445,7.631104468668733,6.162003949705854,0.246227754156963,0.1383912740773905,0.2469279094968383,0.2469279094968383,2.8946647440929545,0.1386889590556484,122.55732463281448,0.0,22.084428157561906,3.552713678800501E-15,-1.746456875615369,1.212873006892136,2.735345036468273,1.899632453334857,1.3167681090542216,0.9144643180757226,9.921101493988983,1.2105427736872447,2.735344726993924,1.899632238412239,1.3420073062536275,0.9175472355703403,-22.48755589045917,64.79010695386941,-212.25720496614167,70.4022172837776,33.457085872996466,60.31859016982036,33.58780122674888,64.79025877887166,19.98276681085405,70.40224560971471,40.706741920770014,60.31839402800004,25.602058390220314,42.36095855774037,5.13717525909871,90.58365419212656,40.706741920770014,60.31839402800004,9.40606975844754,50.93239264253666,-37.22458664006303,54.423723482945526,-1.2040809172639186,87.23708004877982,263.70850799921976,536.9369207352421,-372.3502117638766,541.4956861244739,-101.92427613116416,1129.8902616797027,467.5210160979505,229.0260773742947,66.85069930641735,83.50861078436331,453.4200185756973,26.068206139629783,113.9569534871583,83.98723510714979,10.42512888556512,1.7138631905457624,2.507295352002948,3.027762805988753,16.75697721540932,153.57571096512626,7.492131031138846,91.61493526350264,0.7092563909942907,0.1759813400274774,-163139.13363117917,19037.66251650405,1.1456109363960418E16,0.0168024824660261,6.9510171995136194E-12,0.0243515552750951,0.975648444717954,2,8.617724391700428
2M00354794+3153530,8.949753,31.898058,119.06534948714376,-30.856149242830487,3,576.53375,544.8226,0,-41.90357,0.06380809,0,5025.9595,11.71004,2.446062,0.031021902,-0.76701,0.007714625,0.29833502,0.009296642,1.6317364,4.6312394,1.0E20,0.20814002,0.025188325,0,0.27512002,0.03627129,0,0.11359,0.027930096,0,0.51971304,0.033145957,0,-0.20501798,0.12437835,0,0.36718303,0.015868707,0,0.284441,0.020681554,0,0.2992806,0.017758776,0,1.0000000200408772E20,0.19774772,2,0.388232,0.056449812,0,0.30085903,0.04935963,0,0.15732503,0.0209285,0,0.15333319,0.029737893,0,0.24814904,0.112669,0,0.0014019608,0.13693605,0,-0.26260597,0.073473655,0,-0.12191802,0.021924552,0,-0.78998,0.008230777,0,-0.41375,0.09742031,0,0.11829245,0.017033737,0,1.0000000200408772E20,0.028829085,2,-0.75938004,0.091552325,0,2859495427887233792,1.062520606040417,0.014674251,72.40714,51.72563,51.67760518343063,0.015816595,-2.228478420886281,0.012044512,0.023444206,0.07854585,10.448266,119.06565790814255,-30.856318040842808,913.331787,902.856262,925.845398,51.68369617774128,-2.2134217205988747,0.0857961847641879,0.0577662054042604,0.0861046640334393,0.0861046640334393,3.0554879895563536,0.0579602199510379,119.06538322625312,2.8421709430404014E-14,-30.85625238987195,1.0658141036401504E-14,-0.4242926437647804,0.3030342432562345,0.763388425056155,0.5452199963799209,-0.5217996193690572,0.3726747449209934,8.603616958733415,0.303980082855978,0.7633895861649951,0.5452208256559969,-0.4999182750870897,0.3719024375265548,-192.1483853974896,149.71593981093625,-164.53810310330996,95.05033278500149,-2.769192508979456,17.32711362580496,203.24853449111777,149.71600342786047,67.70207970616539,95.05016806503698,4.4802907833284165,17.32746753019786,201.58783173858984,138.48623574921962,41.8702066717772,125.59358621019696,4.4802907833284165,17.32746753019786,178.0640698957133,137.9874457428758,-20.36240240885859,5.586217954208899,31.59837537635136,124.2563861596582,-7.530875080378189,90.65882334187532,-190.5669415999581,78.51562978075741,316.80332906975013,1122.3601811170886,632790.077153012,3418423.8686659657,12.381356691647404,13.23074541055864,630462.5262000386,4074.086758521023,54224.39304206768,295183.35584374727,8.684193302372243,0.3619514449249174,2.334680327214849,1.6478760333426032,104.2711625791782,507.2678125953083,14.878438049721137,78.42529499318728,0.7063967436313421,0.2589030062684182,-146425.25999572309,42700.500980370896,1.165636988271194E13,0.1160190095067919,1.788124155605683E-8,0.0416523893785402,0.9583475927402184,2,8.326758447292626
2M00382370+0819102,9.598782,8.319525,117.38216956327312,-54.411552901911065,2,426.52557,436.0833,0,-4.670005,0.1926306,0,4820.0127,9.383425,2.7336674,0.027119631,-0.50322,0.0071470216,0.242535,0.007405835,1.1541413,3.9688823,1.0E20,0.07038197,0.017429026,0,0.13989997,0.028946158,0,0.25281996,0.02045315,0,0.302303,0.021640942,0,0.03488198,0.08530839,0,0.32592297,0.013532019,0,0.347006,0.0199791,0,0.18471056,0.015471783,0,1.0000000200408772E20,0.15791568,2,0.27972198,0.045788407,0,0.23746902,0.04263709,0,0.192195,0.017002504,0,0.13525313,0.023795275,0,0.377259,0.08912057,0,0.188092,0.09657402,0,0.01789397,0.051517196,0,-0.15299803,0.017995425,0,-0.51795,0.008025407,0,0.13246,0.06700463,0,0.098742515,0.014211252,0,1.0000000200408772E20,0.010254022,2,-0.08888,0.07134425,0,2749633772228427136,0.8746016128473696,0.020247744,43.195015,30.842905,10.925273467531234,0.02340997,-28.84307846695275,0.01995402,0.3027328,0.13457797,10.83225,117.38228031350828,-54.41176045602906,1095.21497,1075.58179,1120.50549,10.89401158253777,-28.85689084420771,0.0767015949758446,0.0506092177761982,0.076981721452437,0.076981721452437,3.064610932137356,0.0507844879336007,117.38223228439352,4.263256414560601E-14,-54.41161962831915,7.105427357601002E-15,-0.3481853950407104,0.2405519572672912,0.6722278576434979,0.4644242095991261,-1.0578882114391572,0.7308666114554557,8.528872761922312,0.2424085870181992,0.6722297353641207,0.4644255068659771,-1.0361987311472305,0.7302520933618734,24.0640756286246,15.766180924460205,-158.30672968051266,107.70655542735686,-102.76462719041648,73.62201522185492,-12.96407546078621,15.766186111936353,73.93339887568098,107.70646195663508,-95.5148252675384,73.62215085532243,-12.594260363602643,24.464813573126325,75.91465450054083,104.70574018832622,-95.5148252675384,73.62215085532243,-18.000110738155026,3.5940346007407267,99.7685015295802,78.32920212260655,65.40192993564932,103.56112693729357,-100.44289019913984,267.3872533437289,857.4263067725384,698.3432192758847,620.4962083903222,897.5142567065773,221.34766714220456,589.7837100522391,450.3070115496796,530.4911847952089,220.69687722559203,34.25460979471498,16.961076975479553,46.5527781961889,8.59844832192439,0.2852924382302756,4.253781995620508,2.317817185500232,10.236207215539144,10.018685579268633,5.692928641077949,9.435362656512304,0.4171107937746697,0.1943236750342878,-164149.5536535412,14439.065043092018,4.884246322613929E14,0.1453431200839896,5.023276881031712E-8,0.4258391279596256,0.5741608218076055,2,7.6065219689340395
2M00411604-7232167,10.316871,-72.537979,304.0026387154479,-44.56908795743549,1,306.54706,319.10938,0,204.07774,0.0,0,4423.3887,8.509942,1.3305259,0.03700586,-1.2439,0.010232252,0.25712502,0.01161949,1.8684866,6.121742,1.0E20,-0.41385996,0.024891183,0,-0.15177,0.04072374,0,0.13329005,0.026715798,0,0.325333,0.02131733,0,0.363392,0.13782199,0,0.25903302,0.020053435,0,-0.21891904,0.023942629,0,0.23414063,0.020560728,0,1.0000000200408772E20,0.19934617,258,0.31396204,0.08641975,0,0.227759,0.059503358,0,0.263085,0.02708022,0,-0.024809241,0.028629802,0,0.32733905,0.09360394,0,-0.16213799,0.10979076,0,0.054013968,0.08290524,0,-0.352098,0.02885102,0,-1.2282,0.010900011,0,-0.27883005,0.0756963,0,-0.0019074678,0.022163065,0,1.0000000200408772E20,0.070078716,2,-0.26346004,0.051933892,0,4689130811428267264,0.2739063661474913,0.011595566,23.621647,8.824246,-3.67528713284646,0.012513406,-8.022442445154502,0.013949732,-0.09475597,0.08622208,11.253044,304.00261085464666,-44.56907712724141,3484.89844,3341.27344,3643.03955,-3.664659006212781,-8.019427226313907,5.925757732318248,0.2659615417338095,5.92423296515344,5.92423296515344,-2.7826403115636467,0.2670195729695293,304.0026137091983,0.0,-44.56912397487667,1.4210854715202004E-14,1.6019864768099927,1.1026688558851576,-2.3748089322390227,1.6346129547062616,-2.821860954433145,1.9423248792260872,6.58319400153812,1.0977264359837198,-2.3748062776893075,1.6346111275439603,-2.805127520902851,1.9451239516661127,193.5243560180789,77.24040266384905,-177.31121914947784,39.09549657656696,-31.71897449446558,76.75102874770296,-182.42423647957983,77.24025643949068,54.92864741793388,39.09568115642392,-24.46895792709435,76.75108188260009,-165.58999197793784,45.70988380344144,-25.304509059765177,116.79268283120749,-24.46895792709435,76.75108188260009,-170.55715444210665,41.93251026813798,98.07469664977944,27.27472854569264,-43.868058529728295,120.55457045589964,10.68893508728878,369.30650788213694,907.2994118081498,343.0553882232104,-154.957828562902,859.9994922540826,39068.91125319052,854963.4812236615,374.47916221266985,219.84853770346683,36599.753139059445,3836.235347436383,-13668.865961358506,299280.60857111425,7.286828999227406,0.4233771740770827,2.325500890921352,1.9717402336803664,19.22291347668532,70.79714794410096,11.46895323338478,20.47758554936266,0.7515704724260454,0.1178475886864773,-153424.30202441572,23533.44077475036,3.071571001654443E15,0.0239673717781848,5.071451487111648E-31,1.890649035434105E-5,0.9999810935096456,2,5.655416532947303
